caldt,b30ret,b10ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
28FEB2018,-0.035290,-0.013002,-0.003601,-0.000346,0.000361,0.000969,0.001073,0.004535
29MAR2018,0.032371,0.012783,0.006214,0.001743,0.001566,0.001145,0.000261,0.002261
30APR2018,-0.026111,-0.015476,-0.008743,-0.001777,0.000733,0.001479,0.001433,0.003975
31MAY2018,0.022025,0.009592,0.007578,0.003656,0.002171,0.001491,0.001401,0.004159
29JUN2018,0.009223,0.002260,0.000589,-0.000021,0.001498,0.001522,0.001408,0.001594
31JUL2018,-0.015182,-0.005108,-0.002330,-0.000186,0.001438,0.001691,0.001558,0.000067
31AUG2018,0.015453,0.010064,0.007665,0.003675,0.002430,0.001675,0.001575,0.000556
28SEP2018,-0.033121,-0.014807,-0.007518,-0.001759,0.000401,0.001524,0.001490,0.001162
31OCT2018,-0.032213,-0.004347,0.001461,0.001830,0.002158,0.001931,0.001890,0.001767
30NOV2018,0.021458,0.014917,0.009218,0.004099,0.002183,0.001900,0.001795,-0.003349
31DEC2018,0.056610,0.028561,0.017452,0.008316,0.003538,0.001935,0.001930,-0.003194
31JAN2019,0.006251,0.007138,0.005508,0.002568,0.003047,0.001923,0.001920,0.001907
28FEB2019,-0.012107,-0.004272,-0.002041,0.000610,0.001884,0.001740,0.001809,0.004227
29MAR2019,0.055952,0.029419,0.016241,0.006961,0.003373,0.001991,0.001935,0.005641
30APR2019,-0.019750,-0.006214,-0.000107,0.001933,0.002157,0.002044,0.002125,0.005295
31MAY2019,0.076581,0.031854,0.019902,0.008164,0.003456,0.002196,0.001983,0.002129
28JUN2019,0.010051,0.012073,0.008867,0.004399,0.003795,0.002163,0.001853,0.000199
31JUL2019,0.003196,0.003435,-0.001159,-0.000671,0.000662,0.002002,0.001783,0.001671
30AUG2019,0.125914,0.040344,0.022261,0.008336,0.003716,0.001762,0.001908,-0.000051
30SEP2019,-0.030480,-0.013852,-0.005911,-0.001297,0.000941,0.001968,0.001787,0.000783
31OCT2019,-0.012836,-0.000742,0.002643,0.003274,0.003283,0.001961,0.001531,0.002286
29NOV2019,-0.004773,-0.007410,-0.003725,-0.001038,0.000411,0.001130,0.001197,-0.000536
31DEC2019,-0.036467,-0.011292,-0.000824,0.002274,0.001750,0.001498,0.001431,-0.000910
31JAN2020,0.089398,0.039182,0.019282,0.006337,0.002563,0.001308,0.001164,0.003880
28FEB2020,0.074637,0.029902,0.018282,0.008698,0.004675,0.001513,0.001208,0.002741
31MAR2020,0.085438,0.039709,0.027033,0.014069,0.009605,0.003067,0.001268,-0.002176
30APR2020,0.009766,0.005024,0.001673,0.001034,0.000056,0.000116,0.000003,-0.006687
29MAY2020,-0.023607,0.000713,0.003103,0.000826,-0.000148,0.000029,0.000059,0.000020
30JUN2020,0.000237,0.000388,0.002134,0.000515,0.000373,0.000155,0.000111,0.005472
31JUL2020,0.056713,0.012821,0.003856,0.001030,0.000759,0.000330,0.000096,0.005058
31AUG2020,-0.067580,-0.014709,-0.001671,-0.000208,0.000005,0.000069,0.000079,0.003153
30SEP2020,0.005791,0.002560,0.000236,-0.000174,0.000174,0.000099,0.000076,0.001393
30OCT2020,-0.046769,-0.017311,-0.004806,-0.000383,-0.000086,0.000067,0.000073,0.000415
30NOV2020,0.022611,0.004016,0.001938,0.000574,0.000520,0.000096,0.000066,-0.000611
31DEC2020,-0.019275,-0.004965,0.000855,0.000738,0.000297,0.000054,0.000060,0.000941
