PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret,TICKER
10107,15SEP2020,252,1.6406%,1.1129,0.0011,1.2263%,2.6625%,78.7858%,1.0064%,MSFT
10107,19AUG2020,252,-0.6052%,1.0944,0.0010,1.1876%,2.5895%,78.9681%,-0.1894%,MSFT
10107,07OCT2020,252,1.9037%,1.1157,0.0009,1.2424%,2.6874%,78.6282%,-0.1481%,MSFT
10107,16SEP2020,252,-1.7866%,1.1135,0.0011,1.2294%,2.6652%,78.7213%,-1.3525%,MSFT
10107,29OCT2020,252,1.0065%,1.1204,0.0009,1.2393%,2.7130%,79.1338%,-0.2600%,MSFT
10107,02JUN2017,252,2.3681%,1.0399,0.0006,0.7761%,1.0240%,42.5595%,2.0040%,MSFT
10107,20NOV2020,252,-0.9557%,1.1215,0.0007,1.2933%,2.7590%,78.0264%,-0.3838%,MSFT
10107,17NOV2020,252,-1.2751%,1.1210,0.0007,1.2928%,2.7565%,78.0024%,-1.0622%,MSFT
10107,15DEC2020,252,-0.0327%,1.1189,0.0005,1.3065%,2.7629%,77.6404%,-1.4666%,MSFT
10107,30JUN2017,252,0.6424%,1.0209,0.0006,0.7782%,0.9603%,34.3337%,0.4972%,MSFT
10107,02OCT2015,252,2.1520%,1.2050,0.0001,1.2333%,1.6931%,46.9425%,0.3603%,MSFT
10107,12JAN2018,252,1.7257%,1.1654,0.0005,0.7657%,0.9341%,32.7997%,0.9550%,MSFT
10107,08OCT2015,252,1.3889%,1.2033,0.0000,1.2340%,1.6905%,46.7169%,0.3751%,MSFT
10107,19DEC2014,252,0.2946%,0.8912,0.0008,0.9915%,1.1959%,31.2587%,-0.0892%,MSFT
10107,14OCT2015,252,-0.4479%,1.1993,0.0001,1.2243%,1.6667%,46.0395%,0.2721%,MSFT
10107,14FEB2014,252,0.0266%,0.8106,0.0007,1.4951%,1.6158%,14.3778%,-0.3142%,MSFT
10107,20OCT2015,252,0.3150%,1.1885,0.0001,1.2232%,1.6590%,45.6424%,0.4933%,MSFT
10107,20NOV2017,252,0.1578%,1.1426,0.0005,0.7322%,0.9050%,34.5439%,-0.0866%,MSFT
10107,26OCT2015,252,2.6102%,1.2288,0.0005,1.3489%,1.7738%,42.1761%,2.8574%,MSFT
10107,16NOV2017,252,0.2651%,1.1497,0.0006,0.7330%,0.9082%,34.8666%,-0.9119%,MSFT
10107,30OCT2015,252,-1.3493%,1.2329,0.0005,1.3475%,1.7756%,42.4124%,-0.8345%,MSFT
10107,11OCT2017,252,0.1704%,1.0674,0.0004,0.7500%,0.9174%,33.1756%,-0.0048%,MSFT
10107,05NOV2015,252,-0.0368%,1.2303,0.0005,1.3485%,1.7747%,42.2584%,0.0617%,MSFT
10107,10OCT2017,252,0.0000%,1.0700,0.0004,0.7500%,0.9229%,33.9584%,-0.2607%,MSFT
10107,16NOV2015,252,1.7506%,1.2189,0.0004,1.3489%,1.7782%,42.4501%,0.0565%,MSFT
10107,18JUN2014,252,-0.0720%,0.9011,0.0002,1.4297%,1.5672%,16.7853%,-0.7474%,MSFT
10107,17NOV2015,252,-0.8091%,1.2192,0.0004,1.3496%,1.7789%,42.4395%,-0.6750%,MSFT
10107,18OCT2017,252,0.0258%,1.0628,0.0004,0.7515%,0.9159%,32.6871%,-0.1271%,MSFT
10107,11DEC2014,252,0.5757%,0.8548,0.0006,0.9821%,1.1593%,28.2415%,0.1467%,MSFT
10107,24NOV2015,252,0.1107%,1.2247,0.0006,1.3357%,1.7751%,43.3791%,-0.1460%,MSFT
10107,30OCT2017,252,0.0955%,1.1102,0.0005,0.7777%,0.9527%,33.3653%,0.6047%,MSFT
10107,17DEC2014,252,1.2843%,0.8500,0.0006,0.9899%,1.1736%,28.8552%,-0.5677%,MSFT
10107,01SEP2017,252,-1.1101%,1.0403,0.0004,0.7373%,0.9393%,38.3852%,-1.3969%,MSFT
10107,15DEC2015,252,0.1088%,1.2480,0.0007,1.3241%,1.7927%,45.4476%,-1.2702%,MSFT
10107,22NOV2017,252,-0.7286%,1.1521,0.0005,0.7346%,0.9091%,34.6967%,-0.6751%,MSFT
10107,25NOV2014,252,-0.2522%,0.8899,0.0006,0.9827%,1.1698%,29.4347%,-0.1721%,MSFT
