PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret
10107,08JUL2014,252,-0.5001%,0.0002,0.9654,-0.3447,-0.4342,1.4106%,1.5481%,16.9831%,0.3766%
10107,09JUL2014,252,-0.2633%,0.0002,0.9631,-0.3319,-0.4185,1.4114%,1.5483%,16.9075%,-0.8939%
10107,10JUL2014,252,0.0360%,0.0002,0.9648,-0.3390,-0.4112,1.4103%,1.5472%,16.9139%,0.3004%
10107,11JUL2014,252,0.9716%,0.0002,0.9487,-0.3222,-0.3871,1.4086%,1.5385%,16.1720%,0.6283%
10107,14JUL2014,252,0.1188%,0.0002,0.9481,-0.3207,-0.3827,1.4087%,1.5385%,16.1604%,-0.3647%
10107,15JUL2014,252,0.7356%,0.0001,0.9530,-0.3530,-0.3816,1.4072%,1.5368%,16.1500%,1.1215%
10107,16JUL2014,252,3.8398%,0.0002,0.9791,-0.3977,-0.3643,1.4229%,1.5548%,16.2488%,3.4499%
10107,17JUL2014,252,1.0209%,0.0004,0.9601,-0.3936,-0.3470,1.4247%,1.5527%,15.8079%,2.1157%
10107,18JUL2014,252,0.3593%,0.0004,0.9598,-0.3815,-0.2959,1.4238%,1.5517%,15.8006%,-0.6754%
10107,21JUL2014,252,0.3245%,0.0009,0.9692,-0.3690,-0.1832,1.2240%,1.3702%,20.1941%,0.4876%
10107,22JUL2014,252,-0.0111%,0.0008,0.9658,-0.3805,-0.2057,1.2196%,1.3656%,20.2389%,-0.4856%
10107,23JUL2014,252,0.0892%,0.0008,0.9645,-0.3748,-0.1918,1.2194%,1.3647%,20.1683%,-0.1918%
10107,24JUL2014,252,-1.0475%,0.0007,0.9644,-0.3620,-0.1795,1.2215%,1.3667%,20.1241%,-1.2061%
10107,25JUL2014,252,0.2252%,0.0008,0.9611,-0.3460,-0.1941,1.2146%,1.3613%,20.3808%,0.6257%
10107,28JUL2014,252,-1.1910%,0.0008,0.9583,-0.3311,-0.1932,1.2172%,1.3634%,20.3021%,-1.2209%
10107,29JUL2014,252,-0.1933%,0.0008,0.9566,-0.3307,-0.1983,1.2172%,1.3634%,20.2938%,0.2300%
10107,30JUL2014,252,-0.6984%,0.0007,0.9592,-0.3343,-0.1794,1.2173%,1.3634%,20.2847%,-0.7311%
10107,31JUL2014,252,-0.9603%,0.0008,0.9407,-0.3197,-0.1626,1.2186%,1.3651%,20.3142%,1.0044%
10107,01AUG2014,252,-0.6951%,0.0008,0.9676,-0.3277,-0.1497,1.2130%,1.3655%,21.0804%,-0.4629%
10107,04AUG2014,252,1.1899%,0.0008,0.9693,-0.3269,-0.1477,1.2131%,1.3666%,21.2052%,0.4457%
10107,05AUG2014,252,-0.6687%,0.0009,0.9633,-0.3152,-0.1463,1.2129%,1.3668%,21.2558%,0.3758%
10107,06AUG2014,252,-0.7892%,0.0008,0.9656,-0.3245,-0.1559,1.2137%,1.3677%,21.2409%,-0.6578%
10107,07AUG2014,252,1.1465%,0.0008,0.9617,-0.3129,-0.1554,1.2127%,1.3663%,21.2283%,1.6121%
10107,08AUG2014,252,-0.0694%,0.0007,0.9382,-0.2932,-0.1487,1.2085%,1.3576%,20.7701%,-1.2452%
10107,11AUG2014,252,0.0000%,0.0007,0.9367,-0.2951,-0.1504,1.2084%,1.3569%,20.6957%,-0.2409%
10107,12AUG2014,252,0.7407%,0.0007,0.9396,-0.3090,-0.1486,1.2087%,1.3573%,20.6940%,0.8196%
10107,13AUG2014,252,1.2868%,0.0008,0.9476,-0.3273,-0.1639,1.2048%,1.3564%,21.1037%,0.5764%
10107,14AUG2014,252,0.4310%,0.0007,0.9523,-0.3359,-0.1754,1.2036%,1.3564%,21.2672%,-0.0612%
10107,15AUG2014,252,1.1746%,0.0008,0.9458,-0.3386,-0.1806,1.2049%,1.3528%,20.6648%,1.1030%
10107,18AUG2014,252,0.7144%,0.0008,0.9463,-0.3404,-0.1822,1.2048%,1.3532%,20.7271%,0.0055%
10107,19AUG2014,252,1.1084%,0.0008,0.9421,-0.3549,-0.2193,1.2036%,1.3515%,20.6819%,0.5877%
10107,20AUG2014,252,-0.8383%,0.0008,0.9361,-0.3492,-0.2303,1.2059%,1.3525%,20.4996%,-1.1888%
10107,21AUG2014,252,0.6007%,0.0008,0.9399,-0.3451,-0.2110,1.2060%,1.3527%,20.5196%,0.4739%
10107,22AUG2014,252,-0.1548%,0.0007,0.9305,-0.3619,-0.2298,1.2011%,1.3450%,20.2505%,-0.0354%
10107,25AUG2014,252,0.0443%,0.0005,0.9007,-0.2966,-0.1622,1.1229%,1.2671%,21.4612%,-0.4973%
10107,26AUG2014,252,-0.3653%,0.0005,0.8918,-0.2906,-0.1798,1.1195%,1.2620%,21.3114%,-0.3793%
10107,27AUG2014,252,-0.3000%,0.0006,0.8700,-0.3078,-0.2202,1.1163%,1.2504%,20.3055%,-0.3387%
10107,28AUG2014,252,0.0223%,0.0006,0.8716,-0.3049,-0.2149,1.1145%,1.2493%,20.4091%,0.0781%
10107,29AUG2014,252,1.2255%,0.0006,0.8766,-0.3158,-0.1978,1.1125%,1.2477%,20.4985%,0.9903%
10107,02SEP2014,252,-0.7484%,0.0006,0.8787,-0.3382,-0.2140,1.1130%,1.2484%,20.5199%,-0.6704%
10107,03SEP2014,252,-0.2883%,0.0007,0.8974,-0.3269,-0.1766,1.0679%,1.2130%,22.5020%,-0.3033%
10107,04SEP2014,252,0.6673%,0.0009,0.9181,-0.3498,-0.2053,1.0516%,1.2047%,23.7980%,0.7423%
10107,05SEP2014,252,1.4362%,0.0009,0.9224,-0.3573,-0.2098,1.0529%,1.2073%,23.9422%,0.9224%
10107,08SEP2014,252,1.2198%,0.0010,0.9125,-0.3447,-0.2256,1.0565%,1.2088%,23.6112%,1.5198%
10107,09SEP2014,252,0.6241%,0.0010,0.9012,-0.3532,-0.2332,1.0577%,1.2057%,23.0389%,1.1363%
10107,10SEP2014,252,0.1711%,0.0009,0.8885,-0.3527,-0.2443,1.0534%,1.1980%,22.6927%,-0.2524%
10107,11SEP2014,252,0.3416%,0.0009,0.8860,-0.3438,-0.2376,1.0527%,1.1967%,22.6163%,0.3944%
10107,12SEP2014,252,-0.6489%,0.0009,0.8871,-0.3450,-0.2403,1.0528%,1.1976%,22.7152%,-0.2112%
10107,15SEP2014,252,-0.9744%,0.0008,0.8838,-0.3340,-0.2527,1.0537%,1.1984%,22.6977%,-0.9413%
