PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret
10107,27AUG2014,252,-0.3000%,0.0005,1.0402,-0.2238,-0.3004,-0.4311,1.1063%,1.2504%,21.7273%,-0.2887%
10107,28AUG2014,252,0.0223%,0.0005,1.0387,-0.2234,-0.2945,-0.4237,1.1048%,1.2493%,21.7859%,0.1745%
10107,29AUG2014,252,1.2255%,0.0005,1.0537,-0.2322,-0.2812,-0.4482,1.1017%,1.2477%,22.0354%,0.9349%
10107,02SEP2014,252,-0.7484%,0.0004,1.0575,-0.2534,-0.2988,-0.4531,1.1019%,1.2484%,22.0905%,-0.5978%
10107,03SEP2014,252,-0.2883%,0.0006,1.0241,-0.2671,-0.2391,-0.3238,1.0621%,1.2130%,23.3324%,-0.2649%
10107,04SEP2014,252,0.6673%,0.0008,1.0413,-0.2909,-0.2649,-0.3150,1.0461%,1.2047%,24.5965%,0.6444%
10107,05SEP2014,252,1.4362%,0.0008,1.0438,-0.3001,-0.2692,-0.3097,1.0476%,1.2073%,24.7114%,0.9693%
10107,08SEP2014,252,1.2198%,0.0009,1.0327,-0.2876,-0.2849,-0.3074,1.0513%,1.2088%,24.3660%,1.5427%
10107,09SEP2014,252,0.6241%,0.0009,1.0094,-0.3022,-0.2878,-0.2762,1.0535%,1.2057%,23.6516%,1.2960%
10107,10SEP2014,252,0.1711%,0.0008,1.0046,-0.2973,-0.3037,-0.2994,1.0484%,1.1980%,23.4182%,-0.3374%
10107,11SEP2014,252,0.3416%,0.0008,1.0022,-0.2896,-0.2982,-0.2995,1.0477%,1.1967%,23.3449%,0.3242%
10107,12SEP2014,252,-0.6489%,0.0008,1.0031,-0.2905,-0.2995,-0.2977,1.0479%,1.1976%,23.4337%,-0.2544%
10107,15SEP2014,252,-0.9744%,0.0008,1.0027,-0.2797,-0.3120,-0.3043,1.0485%,1.1984%,23.4497%,-0.8455%
10107,16SEP2014,252,1.1246%,0.0008,1.0077,-0.2957,-0.2991,-0.2872,1.0462%,1.1988%,23.8433%,0.4894%
10107,17SEP2014,252,-0.5133%,0.0008,1.0079,-0.2938,-0.2924,-0.2872,1.0473%,1.1994%,23.7600%,-0.7036%
10107,18SEP2014,252,0.3439%,0.0008,1.0154,-0.2974,-0.3030,-0.2989,1.0472%,1.1977%,23.5647%,-0.1282%
10107,19SEP2014,252,1.7995%,0.0008,1.0167,-0.3312,-0.3009,-0.2841,1.0505%,1.2012%,23.5081%,1.7058%
10107,22SEP2014,252,-0.9680%,0.0009,0.9900,-0.2994,-0.2649,-0.2547,1.0453%,1.1913%,23.0035%,-0.1544%
10107,23SEP2014,252,-1.0625%,0.0009,0.9980,-0.2966,-0.2614,-0.2642,1.0459%,1.1936%,23.2162%,-0.4855%
10107,24SEP2014,252,1.1168%,0.0009,0.9916,-0.2907,-0.2561,-0.2543,1.0454%,1.1934%,23.2570%,0.1346%
10107,25SEP2014,252,-2.2090%,0.0008,1.0126,-0.3039,-0.2772,-0.2733,1.0458%,1.2027%,24.3917%,-0.6045%
10107,26SEP2014,252,0.8036%,0.0008,1.0121,-0.3012,-0.2688,-0.2739,1.0456%,1.2027%,24.4085%,0.0285%
10107,29SEP2014,252,0.0646%,0.0007,1.0343,-0.3016,-0.2784,-0.3086,1.0385%,1.1996%,25.0475%,0.2586%
10107,30SEP2014,252,-0.1723%,0.0007,1.0444,-0.3095,-0.2854,-0.3190,1.0376%,1.1997%,25.1961%,-0.0728%
10107,01OCT2014,252,-0.9922%,0.0007,1.0383,-0.3077,-0.2825,-0.3163,1.0378%,1.2009%,25.3270%,0.3712%
10107,02OCT2014,252,-0.3050%,0.0006,1.0373,-0.3089,-0.2725,-0.3085,1.0366%,1.2000%,25.3831%,-0.3298%
10107,03OCT2014,252,0.7212%,0.0006,1.0394,-0.2990,-0.2637,-0.3159,1.0364%,1.2004%,25.4588%,-0.4976%
10107,06OCT2014,252,0.0000%,0.0006,1.0409,-0.3000,-0.2585,-0.3099,1.0357%,1.2004%,25.5541%,0.0435%
10107,07OCT2014,252,-1.2150%,0.0007,1.0264,-0.2976,-0.2655,-0.3130,1.0336%,1.1978%,25.5317%,0.4350%
