PERMNO,DATE,n,RET,vwretd,swbeta,swalpha,ivol,tvol,R2
93436,21SEP2016,252,0.28%,1.19%,1.37,-0.00,2.30%,2.63%,23.39%
93436,22SEP2016,252,0.59%,0.78%,1.38,-0.00,2.30%,2.63%,23.63%
93436,23SEP2016,252,0.49%,-0.60%,1.38,-0.00,2.30%,2.63%,23.72%
93436,26SEP2016,252,0.74%,-0.82%,1.34,-0.00,2.31%,2.63%,22.43%
93436,27SEP2016,252,-1.52%,0.51%,1.34,-0.00,2.32%,2.62%,21.84%
93436,28SEP2016,252,0.22%,0.67%,1.34,-0.00,2.32%,2.62%,21.77%
93436,29SEP2016,252,-2.70%,-0.92%,1.36,-0.00,2.32%,2.62%,21.73%
93436,30SEP2016,252,1.66%,0.78%,1.42,-0.00,2.29%,2.62%,23.60%
93436,03OCT2016,252,4.74%,-0.31%,1.39,-0.00,2.32%,2.63%,21.96%
93436,04OCT2016,252,-1.07%,-0.56%,1.44,-0.00,2.31%,2.63%,22.83%
93436,05OCT2016,252,-1.40%,0.50%,1.46,-0.00,2.30%,2.63%,23.51%
93436,06OCT2016,252,-3.58%,-0.07%,1.50,-0.00,2.28%,2.62%,24.72%
93436,07OCT2016,252,-2.18%,-0.38%,1.53,-0.00,2.26%,2.62%,25.64%
93436,10OCT2016,252,2.21%,0.56%,1.54,-0.00,2.26%,2.62%,25.67%
93436,11OCT2016,252,-0.42%,-1.26%,1.52,-0.00,2.26%,2.62%,25.38%
93436,12OCT2016,252,0.70%,0.09%,1.54,-0.00,2.25%,2.62%,25.76%
93436,13OCT2016,252,-0.63%,-0.33%,1.54,-0.00,2.25%,2.61%,25.80%
93436,14OCT2016,252,-1.86%,-0.03%,1.55,-0.00,2.25%,2.61%,25.80%
93436,17OCT2016,252,-1.30%,-0.25%,1.53,-0.00,2.26%,2.61%,25.10%
93436,18OCT2016,252,2.65%,0.66%,1.53,-0.00,2.26%,2.62%,25.24%
93436,19OCT2016,252,2.24%,0.30%,1.50,-0.00,2.24%,2.58%,24.85%
93436,20OCT2016,252,-2.19%,-0.16%,1.50,-0.00,2.24%,2.59%,24.83%
93436,21OCT2016,252,0.50%,-0.01%,1.51,-0.00,2.24%,2.59%,24.91%
93436,24OCT2016,252,1.33%,0.44%,1.54,-0.00,2.23%,2.59%,25.56%
93436,25OCT2016,252,-0.21%,-0.44%,1.54,-0.00,2.23%,2.58%,25.59%
93436,26OCT2016,252,-0.05%,-0.28%,1.54,-0.00,2.22%,2.58%,25.80%
93436,27OCT2016,252,0.88%,-0.40%,1.53,-0.00,2.22%,2.57%,25.56%
93436,28OCT2016,252,-1.98%,-0.26%,1.54,-0.00,2.22%,2.58%,25.76%
93436,31OCT2016,252,-1.12%,0.04%,1.55,-0.00,2.21%,2.57%,26.20%
93436,01NOV2016,252,-3.51%,-0.68%,1.56,-0.00,2.21%,2.58%,26.49%
93436,02NOV2016,252,-1.45%,-0.77%,1.58,-0.00,2.19%,2.57%,27.45%
93436,03NOV2016,252,-0.32%,-0.39%,1.59,-0.00,2.08%,2.48%,29.85%
93436,04NOV2016,252,1.68%,-0.12%,1.61,-0.00,2.07%,2.49%,30.42%
93436,07NOV2016,252,1.39%,2.09%,1.59,-0.00,2.08%,2.49%,30.39%
93436,08NOV2016,252,0.90%,0.39%,1.59,-0.00,2.07%,2.48%,30.67%
93436,09NOV2016,252,-2.50%,1.21%,1.52,-0.00,2.09%,2.47%,28.62%
93436,10NOV2016,252,-2.48%,0.20%,1.52,-0.00,2.09%,2.48%,28.47%
93436,11NOV2016,252,1.73%,0.03%,1.52,-0.00,2.10%,2.47%,27.77%
93436,14NOV2016,252,-3.77%,0.24%,1.49,-0.00,2.13%,2.48%,26.49%
93436,15NOV2016,252,1.28%,0.79%,1.49,-0.00,2.11%,2.47%,26.73%
93436,16NOV2016,252,0.09%,-0.15%,1.49,-0.00,2.11%,2.47%,26.73%
93436,17NOV2016,252,2.57%,0.46%,1.48,-0.00,2.12%,2.47%,26.31%
93436,18NOV2016,252,-1.93%,-0.14%,1.47,-0.00,2.13%,2.47%,25.74%
93436,21NOV2016,252,-0.27%,0.78%,1.46,-0.00,2.13%,2.47%,25.65%
93436,22NOV2016,252,3.60%,0.30%,1.48,-0.00,2.13%,2.48%,26.23%
93436,23NOV2016,252,1.03%,0.09%,1.48,-0.00,2.13%,2.48%,26.35%
93436,25NOV2016,252,1.82%,0.36%,1.47,-0.00,2.11%,2.46%,26.33%
93436,28NOV2016,252,-0.27%,-0.60%,1.47,-0.00,2.11%,2.46%,26.39%
93436,29NOV2016,252,-3.34%,0.10%,1.49,-0.00,2.11%,2.47%,26.68%
93436,30NOV2016,252,-0.09%,-0.15%,1.49,-0.00,2.10%,2.46%,27.13%
93436,01DEC2016,252,-3.97%,-0.42%,1.50,-0.00,2.11%,2.47%,26.95%
93436,02DEC2016,252,-0.23%,0.07%,1.51,-0.00,2.11%,2.47%,27.25%
93436,05DEC2016,252,2.94%,0.73%,1.51,-0.00,2.11%,2.48%,27.36%
